brand,year,selling_price,km_driven,fuel_encoded,seller_type_encoded,transmission_encoded,owner_encoded
Maruti,2007,60000,70000,4,1,1,0
Maruti,2007,135000,50000,4,1,1,0
Hyundai,2012,600000,100000,1,1,1,0
Datsun,2017,250000,46000,4,1,1,0
Honda,2014,450000,141000,1,1,1,2
Maruti,2007,140000,125000,4,1,1,0
Hyundai,2016,550000,25000,4,1,1,0
Tata,2014,240000,60000,4,1,1,2
Hyundai,2015,850000,25000,4,1,1,0
Maruti,2017,365000,78000,0,1,1,0
Chevrolet,2015,260000,35000,4,1,1,0
Tata,2014,250000,100000,4,1,1,0
Toyota,2018,1650000,25000,4,0,0,0
Maruti,2015,585000,24000,4,0,1,0
Hyundai,2019,1195000,5000,1,0,1,0
Chevrolet,2013,390000,33000,1,1,1,2
Jaguar,2014,1964999,28000,1,0,0,0
Mercedes-Benz,2013,1425000,59000,1,0,0,0
Maruti,2018,975000,4500,1,0,0,0
Audi,2011,1190000,175900,1,0,0,0
Honda,2018,930000,14500,4,0,1,0
Tata,2018,525000,15000,4,1,1,0
Audi,2013,1735000,50000,1,0,0,0
Mercedes-Benz,2012,1375000,33800,1,0,0,2
Skoda,2011,450000,130400,1,0,0,2
Toyota,2016,900000,50000,4,1,0,0
Toyota,2015,1300000,80000,1,1,1,0
Jeep,2019,1400000,10000,4,1,1,0
Mercedes-Benz,2010,850000,119000,4,0,0,0
Hyundai,2014,229999,60000,4,1,1,1
BMW,2013,1550000,75800,1,0,0,2
Audi,2009,1250000,78000,1,0,0,4
Hyundai,2012,625000,40000,1,1,1,0
Mahindra,2014,1050000,50000,1,1,1,0
Honda,2014,560000,74000,1,1,1,2
Maruti,2014,290000,64000,4,1,1,2
Maruti,2012,275000,60000,4,1,1,2
Mahindra,2009,411000,120000,1,1,1,2
Hyundai,2009,150000,79000,4,1,1,4
Hyundai,2019,500000,15000,4,1,1,0
Maruti,2006,100000,80000,4,1,1,0
Maruti,2017,725000,18500,1,0,1,0
Maruti,2018,401000,10200,4,0,1,0
Hyundai,2018,750000,29000,1,0,1,0
Maruti,2018,310000,28000,4,0,1,0
Maruti,2016,665000,46000,1,0,1,0
Hyundai,2014,465000,70000,1,0,1,0
Maruti,2012,160000,60000,4,1,1,2
Mahindra,1996,250000,35000,1,1,1,2
Honda,2014,675000,90000,1,0,1,0
Maruti,2013,300000,80000,4,0,1,0
Tata,2005,70000,80000,1,1,1,0
Hyundai,2014,240000,73300,4,0,1,2
Toyota,2014,525000,92000,1,0,1,0
Maruti,2009,151000,66764,4,0,1,2
Maruti,2009,140000,100000,4,1,1,0
Chevrolet,2010,280000,350000,1,1,1,2
Toyota,2011,350000,230000,1,1,1,0
Mahindra,2017,570000,60000,1,1,1,0
Hyundai,2018,300000,31000,4,1,1,0
Tata,2007,100000,39000,1,1,1,0
Toyota,2009,500000,120000,1,1,1,4
Tata,2014,125000,166000,1,1,1,1
Maruti,2006,130000,110000,4,1,1,4
Ford,2017,925000,35000,1,1,1,0
Maruti,2018,750000,60000,1,1,1,0
Honda,2007,200000,54000,4,1,0,2
Hyundai,2010,248000,63000,4,1,1,2
Skoda,2014,450000,120000,1,1,1,2
Hyundai,2005,80000,120000,4,1,1,4
Nissan,2014,650000,76000,4,1,1,2
Hyundai,2015,450000,80000,1,1,1,0
Hyundai,2019,650000,25000,1,1,1,0
Honda,2016,495000,11958,4,0,1,0
Honda,2015,371000,20000,4,0,1,0
Hyundai,2017,1025000,9000,4,0,1,0
Mercedes-Benz,2017,8150000,6500,1,0,0,0
Mahindra,2015,750000,70000,1,1,1,0
Renault,2013,600000,120000,1,1,1,0
Hyundai,2007,80000,58000,4,0,1,2
Mahindra,2013,325000,62200,1,0,1,0
Audi,2014,1470000,34000,1,0,0,2
